"ID","DemAffl","DemAge","DemGender","PromClass","PromSpend","PromTime","TargetBuy"
43526766,NA,59,"M","Tin",0.01,5,0
43645544,6,52,"F","Silver",5000,4,0
6958087,3,78,"F","Gold",6000,2,0
4140222,9,46,"M","Silver",0.02,5,0
7534671,12,64,"F","Tin",0.01,7,1
29442834,19,36,"F","Tin",0.01,4,1
10078045,9,51,"M","Tin",0.01,8,0
14373025,7,75,"F","Gold",6107.64,5,0
36014598,11,63,"F","Tin",0.01,9,1
6672140,7,56,"M","Gold",9000,8,0
50994872,13,44,"F","Silver",5000,7,1
30801176,5,51,"F","Tin",0.01,8,0
22173455,10,38,"F","Gold",9000,2,1
26782375,7,54,"M","Gold",12000,8,0
33039093,14,NA,"F","Gold",6500,15,0
6840884,7,70,"M","Silver",2543.88,11,0
13109758,7,39,"F","Silver",50.02,8,0
43809237,7,44,NA,"Tin",0.01,5,0
24613797,8,61,"U","Gold",6000,2,0
30617219,8,62,"M","Gold",12000,3,0
44954745,8,57,"F","Gold",12000,5,0
3902722,6,78,"F","Gold",16000,4,0
38240021,7,44,"U","Silver",1580,1,0
33759410,11,62,"F","Platinum",33071.08,12,0
49178980,12,52,"F","Gold",8400,8,0
34977526,10,64,"F","Gold",6000,2,0
23183934,9,72,"F","Gold",6000,2,0
26052865,7,51,"M","Silver",2500,6,0
21350035,2,62,"F","Silver",5000,1,1
35062955,10,29,"F","Silver",420,4,1
39588137,3,48,"M","Silver",1000,5,0
6970303,6,53,"F","Platinum",20539,11,0
45602508,20,26,"F","Tin",0.01,6,1
17609607,11,37,"F","Silver",1771.63,5,1
9119167,10,65,"M","Silver",100,11,0
32874916,12,54,"F","Gold",6000,2,0
18264190,6,68,"F","Silver",2000,1,1
37289264,5,79,NA,"Tin",0.01,5,0
28308611,13,64,"F","Silver",4017.56,7,1
13221213,9,NA,NA,"Silver",1000,10,0
41112840,4,69,"M","Silver",3000,5,0
48527566,8,61,"F","Silver",5000,5,0
47627729,9,44,"M","Tin",0.01,8,1
48076343,6,45,NA,"Silver",480.01,5,0
44748304,10,35,"U","Tin",0.01,4,0
37469696,10,54,"M","Gold",6000,5,0
18494250,9,31,"F","Silver",1000,1,0
33243723,8,78,"M","Silver",1000,5,0
51950,9,68,"F","Gold",6053.25,5,1
34041970,8,34,"F","Silver",0.02,NA,1
16300327,4,59,"U","Silver",4000,8,0
15907694,2,NA,NA,"Gold",9000,8,0
35775714,4,36,NA,"Silver",1000,7,0
28622936,NA,39,"F","Silver",1000,4,1
